animal_shelter_pkid,shelter_name,shelter_address,shelter_tel,county
48,基隆市寵物銀行,基隆市七堵區大華三路45-12號(欣欣安樂園旁),02-24560148,基隆市
49,臺北市動物之家,臺北市內湖區安美街191號,02-87913254,臺北市
50,新北市板橋區公立動物之家,新北市板橋區板城路28-1號,02-89662158,新北市
51,新北市新店區公立動物之家,新北市新店區安泰路235號,02-22159462,新北市
53,新北市中和區公立動物之家,新北市中和區興南路三段100號,02-86685547,新北市
55,新北市淡水區公立動物之家,新北市淡水區下圭柔山91之3號,02-26267558,新北市
56,新北市瑞芳區公立動物之家,新北市瑞芳區靜安路四段(106縣道74.5K清潔隊場區內),02-24063481,新北市
58,新北市五股區公立動物之家,新北市五股區外寮路9-9號,02-82925265,新北市
59,新北市八里區公立動物之家,新北市八里區長坑里6鄰長坑道路36號,02-26194428,新北市
60,新北市三芝區公立動物之家,新北市三芝區青山路(龍巖人本旁),02-26365436,新北市
61,桃園市動物保護教育園區,桃園市新屋區永興里3鄰藻礁路1668號,03-4861760,桃園市
62,新竹市動物保護教育園區,新竹市南寮里海濱路250號,03-5368329,新竹市
63,新竹縣動物保護教育園區,新竹縣竹北市縣政五街192號,03-5519548,新竹縣
63,新竹縣動物保護防疫所,新竹縣竹北市縣政五街192號,03-5519548,新竹縣
67,臺中市動物之家南屯園區,臺中市南屯區中台路601號,04-23850976,臺中市
68,臺中市動物之家后里園區,臺中市后里區堤防路370號,04-25588024,臺中市
69,彰化縣流浪狗中途之家,彰化縣員林市大峰里阿寶巷426號(大門入口請由彰化縣芬園鄉大彰路一段875巷進入走到底),04-8590638,彰化縣
70,南投縣公立動物收容所,南投縣南投市嶺興路36-1號,049-2225440,南投縣
71,嘉義市動物保護教育園區,嘉義市彌陀路31號,05-2168661,嘉義市
72,嘉義縣動物保護教育園區,嘉義縣民雄鄉松山村後山仔37之2號,05-2721119,嘉義縣
73,臺南市動物之家灣裡站,臺南市南區省躬里14鄰萬年路580巷92號,06-2964439,臺南市
74,臺南市動物之家善化站,臺南市善化區昌隆里東勢寮1~19號,06-5832399,臺南市
75,高雄市壽山動物保護教育園區,高雄市鼓山區萬壽路350號,07-5519059,高雄市
76,高雄市燕巢動物保護關愛園區,高雄市燕巢區師大路98號,07-6051002,高雄市
77,屏東縣公立犬貓中途之家,屏東縣內埔鄉學府路1號(屏東科技大學內),08-7221090 0910-9597,屏東縣
77,屏東縣公立犬貓中途之家,屏東縣內埔鄉學府路1號(屏東科技大學內),09-0049-3311,屏東縣
78,宜蘭縣流浪動物中途之家,宜蘭縣五結鄉成興村利寶路60號,039602350分機620,宜蘭縣
79,花蓮縣狗貓躍動園區,花蓮縣鳳林鎮林榮里永豐路255號,038-421452,花蓮縣
80,臺東縣動物收容中心,臺東縣臺東市中華路4段999巷600號,089-362011,臺東縣
81,連江縣流浪犬收容中心,連江縣南竿鄉復興村223號,0836-25003,連江縣
82,金門縣動物收容中心,金門縣金湖鎮裕民農莊20號,082-336625,金門縣
83,澎湖縣流浪動物收容中心,澎湖縣馬公市烏崁里260、261號,06-9213559,澎湖縣
89,雲林縣流浪動物收容所,雲林縣斗六市雲林路二段517號,05-5523300,雲林縣
92,新北市政府動物保護防疫處,新北市板橋區四川路一段157巷2號,02-29596353,新北市
96,苗栗縣動物保護教育園區,苗栗縣銅鑼鄉朝陽村6鄰朝北55-1號(地圖：https:／／goo.gl/maps/Bd4sckpEPsrof7Qb8),037-558228,苗栗縣
96,苗栗縣生態保育教育中心(動物收容所),苗栗縣銅鑼鄉朝陽村6鄰朝北55-1號(地圖：https:／／goo.gl/maps/Bd4sckpEPsrof7Qb8),037-558228,苗栗縣
96,苗栗縣生態保育教育中心(動物收容所),苗栗縣銅鑼鄉朝陽村6鄰朝北55-1號(地圖：https://goo.gl/maps/Bd4sckpEPsrof7Qb8),037-558228,苗栗縣
